,symbol,sector,longName
0,1101.TW,Basic Materials,Taiwan Cement Corp.
1,1102.TW,Basic Materials,Asia Cement Corporation
2,1103.TW,Basic Materials,Chia Hsin Cement Corporation
3,1104.TW,Basic Materials,Universal Cement Corporation
4,1108.TW,Basic Materials,Lucky Cement Corporation
5,1109.TW,Basic Materials,Hsing Ta Cement Company Limited
6,1110.TW,Basic Materials,"Southeast Cement Co.,Ltd."
7,1201.TW,Consumer Defensive,Wei Chuan Foods Corporation
8,1203.TW,Consumer Defensive,Ve Wong Corporation
9,1210.TW,Consumer Defensive,"Great Wall Enterprise Co., Ltd."
10,1215.TW,Consumer Defensive,"Charoen Pokphand Enterprise(Taiwan) Co., Ltd."
11,1216.TW,Consumer Defensive,Uni-President Enterprises Corp.
12,1217.TW,Consumer Defensive,AGV Products Corporation
13,1218.TW,Consumer Defensive,"Taisun Enterprise Co., Ltd."
14,1219.TW,Consumer Defensive,"Fwusow Industry Co., Ltd."
15,1220.TW,Consumer Defensive,"Tai Roun Products Co.,Ltd."
16,1225.TW,Consumer Defensive,"Formosa Oilseed Processing Co., Ltd."
17,1227.TW,Consumer Defensive,Standard Foods Corporation
18,1229.TW,Consumer Defensive,Lien Hwa Industrial Holdings Corporation
19,1231.TW,Consumer Defensive,Lian Hwa Foods Corporation
20,1232.TW,Consumer Defensive,TTET Union Corporation
21,1233.TW,Consumer Defensive,"Ten Ren Tea Co., Ltd."
22,1234.TW,Consumer Defensive,Hey-Song Corporation
23,1702.TW,Consumer Defensive,"Namchow Holdings Co., Ltd."
24,1737.TW,Consumer Defensive,"Taiyen Biotech Co., Ltd."
25,1301.TW,Basic Materials,Formosa Plastics Corporation
26,1303.TW,Basic Materials,Nan Ya Plastics Corporation
27,1304.TW,Basic Materials,USI Corporation
28,1305.TW,Basic Materials,China General Plastics Corporation
29,1307.TW,Consumer Cyclical,"San Fang Chemical Industry Co., Ltd."
30,1308.TW,Basic Materials,Asia Polymer Corporation
31,1309.TW,Basic Materials,"Taita Chemical Company, Ltd."
32,1310.TW,Basic Materials,Taiwan Styrene Monomer Corporation
33,1312.TW,Basic Materials,Grand Pacific Petrochemical Corporation
34,1313.TW,Basic Materials,UPC Technology Corporation
35,1314.TW,Basic Materials,China Petrochemical Development Corporation
36,1315.TW,Consumer Cyclical,Tah Hsin Industrial Corporation
37,1321.TW,Basic Materials,"Ocean Plastics Co., Ltd."
38,1323.TW,Consumer Cyclical,"Yonyu Plastics Co., Ltd."
39,1326.TW,Basic Materials,Formosa Chemicals & Fibre Corporation
40,1337.TW,Basic Materials,Asia Plastic Recycling Holding Limited
41,1340.TW,Consumer Cyclical,Victory New Materials Limited Company
42,4306.TW,Consumer Cyclical,"Yem Chio Co., Ltd."
43,1402.TW,Consumer Cyclical,Far Eastern New Century Corporation
44,1409.TW,Consumer Cyclical,Shinkong Synthetic Fibers Corporation
45,1417.TW,Consumer Cyclical,Carnival Industrial Corporation
46,1419.TW,Consumer Cyclical,"Shinkong Textile Co.,Ltd."
47,1434.TW,Consumer Cyclical,"Formosa Taffeta Co., Ltd."
48,1439.TW,Consumer Cyclical,"Chuwa Wool Industry Co., (Taiwan) Ltd."
49,1440.TW,Consumer Cyclical,"Tainan Spinning Co., Ltd."
50,1444.TW,Consumer Cyclical,"Lealea Enterprise Co., Ltd."
51,1447.TW,Consumer Cyclical,"Li Peng Enterprise Co., Ltd."
52,1451.TW,Consumer Cyclical,"Nien Hsing Textile Co., Ltd."
53,1452.TW,Consumer Cyclical,"Hong Yi Fiber Ind. Co., Ltd."
54,1455.TW,Consumer Cyclical,"Zig Sheng Industrial Co., Ltd."
55,1457.TW,Consumer Cyclical,"Yi Jinn Industrial Co., Ltd."
56,1459.TW,Consumer Cyclical,"Lan Fa Textile Co.,Ltd."
57,1460.TW,Consumer Cyclical,"Everest Textile Co., Ltd."
58,1463.TW,Consumer Cyclical,"Chyang Sheng Dyeing & Finishing Co., Ltd."
59,1464.TW,Consumer Cyclical,"De Licacy Industrial Co., Ltd."
60,1467.TW,Consumer Cyclical,"Tex-Ray Industrial Co., Ltd."
61,1473.TW,Consumer Cyclical,"Tainan Enterprises Co.,Ltd"
62,1476.TW,Consumer Cyclical,"Eclat Textile Co., Ltd."
63,1477.TW,Consumer Cyclical,"Makalot Industrial Co., Ltd."
64,4414.TW,Consumer Cyclical,"Roo Hsing Co., Ltd"
65,4438.TW,Consumer Cyclical,"Quang Viet Enterprise Co., Ltd."
66,1503.TW,Industrials,Shihlin Electric & Engineering Corporation
67,1504.TW,Industrials,"TECO Electric & Machinery Co., Ltd."
68,1506.TW,Consumer Cyclical,"Right Way Industrial Co.,Ltd"
69,1507.TW,Industrials,"Yungtay Engineering Co., Ltd."
70,1513.TW,Industrials,Chung-Hsin Electric and Machinery Manufacturing Corp.
71,1514.TW,Industrials,"Allis Electric Co.,Ltd."
72,1515.TW,Industrials,"Rexon Industrial Corp.,Ltd"
73,1517.TW,Industrials,Leechi Machinery Industry Ltd. Co.
74,1519.TW,Industrials,"Fortune Electric Co., Ltd."
75,1528.TW,Industrials,Anderson Industrial Corporation
76,1530.TW,Industrials,"Awea mechantronic co.,ltd"
77,1531.TW,Industrials,"Kaulin Mfg. Co., Ltd."
78,1532.TW,Industrials,"China Metal Products Co., Ltd."
79,1537.TW,Industrials,"Kung Long Batteries Industrial Co.,Ltd"
80,1541.TW,Industrials,"CHANG TYPE Industrial Co., Ltd."
81,1560.TW,Industrials,Kinik Company
82,1589.TW,Industrials,"Yeong Guan Energy Technology Group Co., Ltd."
83,1590.TW,Industrials,AirTAC International Group
84,2049.TW,Industrials,Hiwin Technologies Corp.
85,2371.TW,Industrials,"Tatung Co., Ltd."
86,4526.TW,Industrials,"Tongtai Machine & Tool Co., Ltd."
87,4540.TW,Industrials,"TBI MOTION Technology Co., Ltd."
88,4552.TW,Industrials,Lida Holdings Limited
89,4562.TW,Industrials,"Ying Han Technology Co., Ltd."
90,4564.TW,Consumer Cyclical,Mosa Industrial Corporation
91,5288.TW,Consumer Cyclical,"Eurocharm Holdings Co., Ltd."
92,8374.TW,Industrials,"Ace Pillar Co., Ltd."
93,1603.TW,Technology,"China Wire & Cable Co., Ltd."
94,1604.TW,Technology,Sampo Corporation
95,1605.TW,Industrials,Walsin Lihwa Corporation
96,1608.TW,Industrials,"Hua Eng Wire & Cable Co., Ltd."
97,1609.TW,Industrials,Ta Ya Electric Wire & Cable
98,1612.TW,Industrials,"Hong Tai Electric Industrial Co., Ltd."
99,1614.TW,Technology,"Taiwan Sanyo Electric Co.,Ltd."
100,1618.TW,Technology,"Hold-Key Electric Wire & Cable Co., Ltd"
101,4930.TW,Technology,"Star Comgistic Capital Co., Ltd."
102,5283.TW,Technology,"Heran Co., Ltd."
103,1598.TW,Consumer Cyclical,Dyaco International Inc.
104,1701.TW,Healthcare,"China Chemical & Pharmaceutical Co., Ltd."
105,1707.TW,Healthcare,Grape King Bio Ltd
106,1708.TW,Basic Materials,Sesoda Corporation
107,1709.TW,Basic Materials,Formosan Union Chemical Corp.
108,1710.TW,Basic Materials,Oriental Union Chemical Corporation
